epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.64,1.64289,9.7415,1.7844,0.16886,0.13078,0.04284,0.0178,2.16507,12.2816,2.32704,0.000232767,0.000232767,0.0669803
2,353.12,1.65473,9.1855,1.79982,0.09662,0.15971,0.07048,0.03967,1.90937,9.11678,2.00699,0.000463304,0.000463304,0.0338775
3,523.862,1.6522,9.20138,1.82869,0.09969,0.18382,0.07596,0.0379,1.89428,8.71372,1.97818,0.00069104,0.00069104,0.000771947
4,693.836,1.64349,9.19362,1.82126,0.1126,0.20315,0.07204,0.03607,1.802,8.34634,1.9028,0.0006874,0.0006874,0.0006874
5,863.738,1.60683,9.00401,1.77951,0.12409,0.2663,0.09773,0.05277,1.69637,8.04796,1.80171,0.0006832,0.0006832,0.0006832
6,1033.91,1.56125,8.64257,1.76742,0.13378,0.25552,0.09103,0.05013,1.76301,8.11987,1.8441,0.000679,0.000679,0.000679
7,1204.01,1.52814,8.48852,1.74906,0.12804,0.3255,0.11941,0.06364,1.67506,7.61949,1.80979,0.0006748,0.0006748,0.0006748
8,1374.04,1.49956,8.30683,1.7186,0.14163,0.3019,0.11374,0.0671,1.56744,7.51184,1.76745,0.0006706,0.0006706,0.0006706
9,1544.27,1.48775,8.21649,1.71327,0.13325,0.26051,0.14485,0.08321,1.65877,7.40914,1.76097,0.0006664,0.0006664,0.0006664
10,1714.92,1.46075,8.05686,1.67344,0.14813,0.32249,0.13502,0.0768,1.61759,7.02286,1.73778,0.0006622,0.0006622,0.0006622
11,1885.25,1.4534,7.85762,1.66234,0.13283,0.32535,0.14347,0.08221,1.60751,7.01011,1.74256,0.000658,0.000658,0.000658
12,2055.9,1.43857,7.80054,1.67844,0.14992,0.38318,0.14715,0.094,1.48629,6.85668,1.63238,0.0006538,0.0006538,0.0006538
13,2226.41,1.43795,7.75037,1.66165,0.17007,0.32178,0.15912,0.087,1.78204,7.00509,1.85744,0.0006496,0.0006496,0.0006496
14,2396.82,1.38932,7.55144,1.62802,0.16531,0.32235,0.16485,0.09791,1.57046,7.03217,1.67857,0.0006454,0.0006454,0.0006454
15,2567.23,1.39301,7.5889,1.64254,0.14931,0.30259,0.15603,0.09042,1.52673,6.96566,1.64693,0.0006412,0.0006412,0.0006412
16,2737.42,1.38018,7.46191,1.6111,0.17737,0.41745,0.20087,0.11905,1.51276,6.72653,1.65154,0.000637,0.000637,0.000637
17,2907.96,1.36049,7.24054,1.59707,0.17,0.36298,0.16988,0.09844,1.56034,6.67706,1.6689,0.0006328,0.0006328,0.0006328
18,3078.44,1.37812,7.28747,1.60439,0.14975,0.33182,0.16357,0.09545,1.56265,6.74854,1.65727,0.0006286,0.0006286,0.0006286
19,3249.04,1.34665,7.22047,1.60472,0.15503,0.33908,0.16181,0.0961,1.53924,6.77454,1.64517,0.0006244,0.0006244,0.0006244
20,3419.54,1.33982,7.23175,1.59287,0.17502,0.34628,0.17719,0.11163,1.48651,6.59723,1.64061,0.0006202,0.0006202,0.0006202
21,3590.42,1.36148,7.05967,1.59763,0.20859,0.3364,0.18921,0.11415,1.5371,6.52529,1.65016,0.000616,0.000616,0.000616
22,3761.44,1.35792,7.02569,1.59128,0.22397,0.40422,0.21831,0.13165,1.55286,6.33062,1.66379,0.0006118,0.0006118,0.0006118
23,3932.65,1.33397,6.98732,1.58724,0.19676,0.36986,0.21041,0.12862,1.46201,6.67656,1.61863,0.0006076,0.0006076,0.0006076
24,4103.67,1.34821,6.96068,1.58707,0.21844,0.38538,0.21894,0.14073,1.48393,6.35716,1.6189,0.0006034,0.0006034,0.0006034
25,4274.89,1.33197,6.87201,1.57661,0.22974,0.33761,0.24039,0.14545,1.62037,6.36032,1.72405,0.0005992,0.0005992,0.0005992
26,4446.21,1.30863,6.90279,1.5817,0.19193,0.39445,0.21394,0.12914,1.54298,6.49069,1.61839,0.000595,0.000595,0.000595
27,4617.11,1.33039,6.84279,1.58007,0.19971,0.37706,0.23146,0.14217,1.56033,6.34456,1.66711,0.0005908,0.0005908,0.0005908
