epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.761,1.66256,9.82028,1.83342,0.04995,0.07984,0.02865,0.01023,2.32034,13.6793,2.85445,0.000232429,0.000232429,0.0670283
2,495.961,1.70658,9.40652,1.88991,0.08924,0.19722,0.07404,0.03235,1.94764,10.473,2.1784,0.000462968,0.000462968,0.0339255
3,739.264,1.72286,9.47394,1.8817,0.07728,0.1614,0.05286,0.02322,2.02726,12.3274,2.29952,0.000690706,0.000690706,0.000819905
4,981.413,1.67974,9.21291,1.86095,0.12731,0.16124,0.08825,0.04629,1.90162,8.62128,2.09482,0.0006874,0.0006874,0.0006874
5,1224.27,1.6419,8.99505,1.80573,0.20979,0.14731,0.08443,0.04001,1.90476,9.00397,2.08151,0.0006832,0.0006832,0.0006832
6,1466.43,1.57367,8.6987,1.77292,0.14128,0.26903,0.10613,0.06195,1.68093,8.85851,1.85,0.000679,0.000679,0.000679
7,1709.05,1.53664,8.58161,1.73122,0.14401,0.27682,0.10647,0.0569,1.69475,7.96799,1.8064,0.0006748,0.0006748,0.0006748
8,1950.9,1.48166,8.19912,1.70657,0.16403,0.26444,0.13224,0.07373,1.7754,7.98704,1.89357,0.0006706,0.0006706,0.0006706
9,2193.17,1.48887,8.17833,1.68994,0.12249,0.24313,0.12912,0.07005,1.73718,7.94032,1.86393,0.0006664,0.0006664,0.0006664
10,2434.86,1.50337,8.10416,1.69505,0.15815,0.24329,0.13186,0.07943,1.58889,7.53525,1.7439,0.0006622,0.0006622,0.0006622
11,2676.86,1.46093,8.10504,1.68637,0.11982,0.27662,0.12716,0.07221,1.62729,7.44658,1.79617,0.000658,0.000658,0.000658
12,2918.73,1.43131,7.78797,1.66432,0.09901,0.29833,0.10322,0.0634,1.61172,7.59513,1.77876,0.0006538,0.0006538,0.0006538
13,3160.62,1.41274,7.78806,1.6642,0.19691,0.27145,0.15012,0.08646,1.65111,7.28589,1.74917,0.0006496,0.0006496,0.0006496
14,3403.04,1.41999,7.61214,1.66073,0.13772,0.34235,0.16525,0.09487,1.6765,7.63754,1.7937,0.0006454,0.0006454,0.0006454
15,3645.28,1.38428,7.64964,1.63687,0.16807,0.28712,0.16104,0.09223,1.61096,7.31455,1.79305,0.0006412,0.0006412,0.0006412
16,3887.15,1.39153,7.43707,1.63065,0.17045,0.32904,0.17425,0.09604,1.66388,7.13636,1.7948,0.000637,0.000637,0.000637
17,4129.88,1.35761,7.31159,1.60115,0.16489,0.30959,0.14648,0.08367,1.64611,7.09853,1.81208,0.0006328,0.0006328,0.0006328
18,4371.71,1.37176,7.3182,1.61893,0.14994,0.29203,0.14992,0.08565,1.62849,7.15791,1.74638,0.0006286,0.0006286,0.0006286
19,4613.39,1.37759,7.16352,1.61942,0.17922,0.33963,0.18355,0.10693,1.58976,7.08441,1.71168,0.0006244,0.0006244,0.0006244
20,4855.83,1.35966,7.23796,1.61273,0.15917,0.31739,0.17807,0.10494,1.64939,6.85275,1.77853,0.0006202,0.0006202,0.0006202
21,5097.98,1.366,7.11585,1.62255,0.1963,0.37776,0.19106,0.11418,1.57891,6.51903,1.70882,0.000616,0.000616,0.000616
22,5340.66,1.32815,6.95222,1.57962,0.19103,0.32023,0.18279,0.10386,1.68301,6.71613,1.77835,0.0006118,0.0006118,0.0006118
23,5582.58,1.34751,6.98972,1.60442,0.18419,0.34343,0.18488,0.11666,1.48801,6.58349,1.62557,0.0006076,0.0006076,0.0006076
24,5824.83,1.32235,6.93618,1.5839,0.18049,0.32823,0.18425,0.10752,1.55467,6.57774,1.67824,0.0006034,0.0006034,0.0006034
25,6066.59,1.31098,6.76113,1.56624,0.19626,0.34153,0.20122,0.11886,1.57661,6.44535,1.72854,0.0005992,0.0005992,0.0005992
26,6308.75,1.32109,6.76351,1.59536,0.20217,0.34489,0.20785,0.11878,1.70945,6.66064,1.77016,0.000595,0.000595,0.000595
27,6550.6,1.32446,6.76151,1.57998,0.21013,0.3674,0.21481,0.12556,1.62434,6.50624,1.70076,0.0005908,0.0005908,0.0005908
28,6792.88,1.30875,6.50381,1.55836,0.23337,0.36181,0.23815,0.15599,1.41986,6.16412,1.60218,0.0005866,0.0005866,0.0005866
29,7035.06,1.3088,6.59546,1.55732,0.24813,0.38046,0.22421,0.14059,1.50905,6.35913,1.65105,0.0005824,0.0005824,0.0005824
30,7276.5,1.29912,6.59412,1.5591,0.1963,0.38006,0.22842,0.13144,1.65442,6.40361,1.76125,0.0005782,0.0005782,0.0005782
31,7518.04,1.28838,6.37025,1.54175,0.24275,0.34421,0.218,0.1306,1.59409,6.38216,1.72464,0.000574,0.000574,0.000574
32,7759.81,1.28358,6.36622,1.53668,0.24522,0.34816,0.26235,0.15024,1.67126,6.21416,1.74766,0.0005698,0.0005698,0.0005698
33,8001.64,1.26746,6.33797,1.54235,0.2176,0.34375,0.24483,0.14753,1.51932,6.17954,1.66927,0.0005656,0.0005656,0.0005656
34,8243.32,1.30076,6.36458,1.55409,0.22321,0.35138,0.23676,0.15641,1.41246,6.22507,1.57677,0.0005614,0.0005614,0.0005614
35,8485.4,1.25435,6.37393,1.54417,0.24415,0.39745,0.25739,0.16871,1.49806,6.26718,1.63614,0.0005572,0.0005572,0.0005572
36,8727.38,1.27017,6.25741,1.54309,0.2597,0.38328,0.27174,0.16283,1.64824,6.14254,1.76133,0.000553,0.000553,0.000553
37,8969.4,1.24762,6.05749,1.51964,0.23742,0.43683,0.27976,0.16918,1.5632,5.98875,1.64916,0.0005488,0.0005488,0.0005488
38,9211.54,1.24655,5.9636,1.49942,0.27854,0.31592,0.25761,0.16103,1.53278,6.1408,1.65473,0.0005446,0.0005446,0.0005446
39,9453.3,1.24901,5.9673,1.50747,0.30644,0.37874,0.28093,0.16902,1.54414,5.91728,1.62824,0.0005404,0.0005404,0.0005404
40,9694.76,1.23674,5.95078,1.51202,0.25388,0.34808,0.28541,0.17453,1.54072,5.97479,1.6242,0.0005362,0.0005362,0.0005362
41,9936.65,1.22968,5.91359,1.49757,0.25797,0.43074,0.26486,0.16777,1.47437,6.01353,1.61516,0.000532,0.000532,0.000532
42,10178.3,1.23635,5.89313,1.51541,0.26517,0.38683,0.27581,0.17411,1.54155,6.02493,1.67734,0.0005278,0.0005278,0.0005278
43,10419.5,1.21891,5.89812,1.51603,0.22609,0.39024,0.28532,0.18486,1.40731,5.95612,1.54932,0.0005236,0.0005236,0.0005236
44,10661.2,1.23752,5.80525,1.50054,0.2703,0.39557,0.3019,0.18268,1.5516,5.74743,1.64407,0.0005194,0.0005194,0.0005194
45,10902.6,1.20887,5.73201,1.49686,0.34133,0.33995,0.31521,0.19126,1.5126,5.62876,1.6342,0.0005152,0.0005152,0.0005152
46,11144.2,1.24153,5.8023,1.51656,0.32803,0.36727,0.31395,0.19745,1.56903,5.83476,1.69102,0.000511,0.000511,0.000511
47,11385.9,1.23394,5.78031,1.5255,0.29342,0.31414,0.3054,0.20595,1.39196,5.7585,1.58806,0.0005068,0.0005068,0.0005068
48,11627.4,1.21731,5.67524,1.4807,0.34283,0.36522,0.31978,0.20064,1.47784,5.66076,1.59977,0.0005026,0.0005026,0.0005026
49,11868.8,1.2233,5.59861,1.48533,0.33301,0.37207,0.32043,0.20563,1.43921,5.50798,1.58242,0.0004984,0.0004984,0.0004984
50,12110.1,1.20627,5.60371,1.49749,0.305,0.41731,0.32051,0.19814,1.50998,5.63165,1.63244,0.0004942,0.0004942,0.0004942
51,12351.5,1.207,5.60975,1.49325,0.29957,0.36561,0.30084,0.18724,1.53959,5.90724,1.66618,0.00049,0.00049,0.00049
52,12593.2,1.19644,5.54055,1.48793,0.41658,0.36736,0.36723,0.22475,1.49995,5.53733,1.615,0.0004858,0.0004858,0.0004858
53,12835.2,1.18661,5.47503,1.4733,0.32847,0.40767,0.34611,0.21466,1.48989,5.58475,1.62373,0.0004816,0.0004816,0.0004816
54,13076.7,1.20656,5.47487,1.50235,0.30469,0.46753,0.33215,0.20835,1.48343,5.58456,1.60647,0.0004774,0.0004774,0.0004774
55,13318.1,1.20391,5.37692,1.48002,0.27934,0.40092,0.32738,0.20363,1.50877,5.74825,1.62324,0.0004732,0.0004732,0.0004732
56,13559.4,1.20815,5.4026,1.50804,0.43717,0.37504,0.36932,0.23826,1.4405,5.46846,1.60532,0.000469,0.000469,0.000469
57,13801.6,1.2077,5.31613,1.49253,0.34847,0.41077,0.342,0.19909,1.52302,5.68501,1.64082,0.0004648,0.0004648,0.0004648
58,14043.1,1.20626,5.37537,1.49208,0.38257,0.4371,0.38338,0.2331,1.52018,5.4638,1.63714,0.0004606,0.0004606,0.0004606
59,14284.7,1.18233,5.31432,1.47235,0.37185,0.36319,0.34806,0.21188,1.52223,5.60885,1.62947,0.0004564,0.0004564,0.0004564
60,14526,1.15288,5.22129,1.45457,0.34779,0.43325,0.37296,0.2332,1.49995,5.35009,1.61086,0.0004522,0.0004522,0.0004522
61,14767.7,1.17994,5.14716,1.46721,0.38542,0.41831,0.36801,0.23285,1.52188,5.29174,1.64937,0.000448,0.000448,0.000448
62,15009.7,1.16209,5.06668,1.45496,0.40318,0.43312,0.39677,0.24507,1.47322,5.30852,1.5825,0.0004438,0.0004438,0.0004438
