epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
43;10023.4;0.80533;1.90785;1.02455;0.28932;0.30016;0.25601;0.22041;0.76923;4.54352;0.9062;0.005842;0.005842;0.005842
44;10255.9;0.79881;1.88571;1.02238;0.31106;0.29438;0.25934;0.22333;0.76698;4.51258;0.90427;0.005743;0.005743;0.005743
45;10488.5;0.79349;1.85177;1.02021;0.30929;0.30003;0.26085;0.22417;0.76666;4.46431;0.90366;0.005644;0.005644;0.005644
46;10720.4;0.78492;1.8254;1.01691;0.31693;0.30178;0.26256;0.22588;0.76612;4.42011;0.90322;0.005545;0.005545;0.005545
47;10952.9;0.7821;1.8009;1.0159;0.31183;0.30568;0.2634;0.22621;0.7644;4.41071;0.90269;0.005446;0.005446;0.005446
48;11185;0.7811;1.77193;1.01608;0.31259;0.3065;0.26503;0.22768;0.76294;4.37041;0.90181;0.005347;0.005347;0.005347
49;11417.2;0.7748;1.74919;1.00881;0.31909;0.3013;0.26791;0.22993;0.76056;4.34233;0.90086;0.005248;0.005248;0.005248
50;11649.8;0.76851;1.72332;1.00893;0.32153;0.30232;0.26909;0.23071;0.75969;4.31044;0.90067;0.005149;0.005149;0.005149
51;11882.8;0.76198;1.70292;1.0061;0.3237;0.30591;0.27091;0.23222;0.75954;4.29706;0.90131;0.00505;0.00505;0.00505
52;12115;0.75968;1.67665;1.00332;0.32075;0.30833;0.2714;0.23267;0.7591;4.28229;0.90166;0.004951;0.004951;0.004951
53;12347.6;0.75792;1.64508;1.00205;0.33009;0.30861;0.27201;0.23383;0.75977;4.22152;0.90209;0.004852;0.004852;0.004852
54;12578.8;0.7462;1.62485;0.99878;0.33152;0.30957;0.2741;0.23521;0.75947;4.21141;0.90206;0.004753;0.004753;0.004753
55;12810.7;0.74884;1.60454;1.00019;0.33061;0.30802;0.27586;0.23671;0.75917;4.20221;0.90227;0.004654;0.004654;0.004654
56;13054.3;0.7427;1.58115;0.99484;0.33347;0.30998;0.27748;0.23836;0.75888;4.18263;0.90215;0.004555;0.004555;0.004555
57;13286.6;0.73366;1.55584;0.99082;0.33715;0.30668;0.27784;0.23858;0.75959;4.13648;0.90287;0.004456;0.004456;0.004456
58;13517.7;0.73383;1.53954;0.99064;0.34269;0.30495;0.27897;0.23955;0.75893;4.11501;0.90275;0.004357;0.004357;0.004357
59;13749.6;0.7217;1.50689;0.98625;0.34357;0.30253;0.27983;0.24034;0.75809;4.09341;0.90252;0.004258;0.004258;0.004258
60;13981.9;0.72324;1.4915;0.98436;0.34978;0.29966;0.28102;0.24141;0.75822;4.06991;0.90276;0.004159;0.004159;0.004159
61;14214.8;0.71982;1.47412;0.98549;0.35313;0.3001;0.282;0.24241;0.75714;4.04554;0.9025;0.00406;0.00406;0.00406
62;14447.2;0.71703;1.45249;0.98511;0.35576;0.3005;0.2834;0.24354;0.75606;4.02472;0.90216;0.003961;0.003961;0.003961
63;14678.9;0.71216;1.43868;0.98047;0.35874;0.29978;0.28395;0.24398;0.75557;4.01623;0.90188;0.003862;0.003862;0.003862
64;14910.8;0.70696;1.40626;0.98063;0.35629;0.30506;0.28491;0.24456;0.75439;4.00349;0.90154;0.003763;0.003763;0.003763
65;15143;0.70236;1.39075;0.97713;0.35158;0.31306;0.28626;0.24575;0.75274;3.98924;0.9004;0.003664;0.003664;0.003664
66;15374.3;0.69872;1.37605;0.97652;0.36625;0.30334;0.28723;0.24647;0.75214;3.98027;0.90013;0.003565;0.003565;0.003565
67;15605.5;0.69573;1.35902;0.97392;0.37366;0.30296;0.28855;0.24761;0.75141;3.96901;0.89957;0.003466;0.003466;0.003466
68;15836.9;0.69306;1.3436;0.97268;0.36785;0.30607;0.28972;0.24886;0.75081;3.95877;0.89936;0.003367;0.003367;0.003367
69;16068.2;0.68909;1.32466;0.96905;0.37185;0.30677;0.29101;0.24965;0.75079;3.95292;0.89961;0.003268;0.003268;0.003268
70;16299.2;0.68411;1.30356;0.96959;0.38131;0.30385;0.29208;0.25057;0.7508;3.94018;0.89981;0.003169;0.003169;0.003169
71;16529.2;0.67654;1.29031;0.96775;0.38256;0.3048;0.29349;0.25192;0.75048;3.92978;0.89963;0.00307;0.00307;0.00307
72;16758.8;0.67345;1.2664;0.96699;0.3869;0.30254;0.29496;0.25327;0.75019;3.91514;0.89965;0.002971;0.002971;0.002971
73;16988.7;0.6741;1.25786;0.96607;0.38724;0.30225;0.29601;0.25409;0.74968;3.9053;0.89946;0.002872;0.002872;0.002872
74;17218.4;0.66842;1.22994;0.96348;0.3838;0.30714;0.29659;0.25461;0.74917;3.88966;0.8994;0.002773;0.002773;0.002773
75;17448.3;0.66755;1.22465;0.96516;0.38416;0.30716;0.29806;0.25579;0.74921;3.87642;0.89966;0.002674;0.002674;0.002674
76;17677.7;0.6576;1.20486;0.95677;0.38441;0.3075;0.29941;0.25681;0.74841;3.86639;0.89957;0.002575;0.002575;0.002575
77;17908.3;0.66084;1.19197;0.95811;0.38506;0.30783;0.30027;0.25773;0.74891;3.85259;0.89996;0.002476;0.002476;0.002476
78;18138.5;0.65147;1.17612;0.95568;0.38678;0.30814;0.30124;0.25846;0.74954;3.84012;0.90065;0.002377;0.002377;0.002377
79;18368.6;0.6487;1.16524;0.95259;0.38166;0.31089;0.30197;0.2592;0.74895;3.82904;0.90059;0.002278;0.002278;0.002278
80;18598.6;0.64402;1.16001;0.95153;0.37663;0.31576;0.30299;0.25992;0.74843;3.81224;0.90047;0.002179;0.002179;0.002179
81;18828.6;0.64148;1.13255;0.95326;0.37684;0.31742;0.30374;0.26091;0.74828;3.80224;0.90045;0.00208;0.00208;0.00208
82;19058.2;0.63815;1.12309;0.95219;0.37825;0.31997;0.30464;0.26167;0.74769;3.79803;0.90026;0.001981;0.001981;0.001981
83;19288.3;0.63583;1.10772;0.94929;0.37555;0.32257;0.30557;0.26266;0.74804;3.78645;0.90084;0.001882;0.001882;0.001882
84;19520.3;0.63105;1.09575;0.94729;0.37931;0.32291;0.30632;0.26302;0.74768;3.77213;0.90075;0.001783;0.001783;0.001783
