epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.187,1.67268,9.91166,1.84739,0.08951,0.21557,0.05763,0.02788,1.9495,9.63582,2.07256,0.000232767,0.000232767,0.0669803
2,347.495,1.69594,9.43467,1.85823,0.22389,0.19941,0.09063,0.0429,1.82265,8.78522,1.95464,0.000463793,0.000463793,0.033878
3,516.026,1.66776,9.37082,1.86692,0.13247,0.21727,0.09505,0.04374,1.90106,8.34492,2.06183,0.000692509,0.000692509,0.000773415
4,684.237,1.6252,9.05681,1.82893,0.14587,0.22851,0.12502,0.06329,1.8248,8.03363,1.94999,0.000689605,0.000689605,0.000689605
5,852.323,1.58019,8.86124,1.7997,0.07611,0.27041,0.08847,0.04672,1.71861,8.26745,1.87053,0.00068614,0.00068614,0.00068614
6,1020.3,1.54561,8.61836,1.76235,0.15507,0.2603,0.13618,0.07491,1.78382,7.71172,1.86925,0.000682675,0.000682675,0.000682675
7,1188.54,1.52814,8.59412,1.76372,0.1572,0.25134,0.13236,0.06957,1.68287,7.72443,1.83919,0.00067921,0.00067921,0.00067921
8,1356.6,1.497,8.27533,1.72786,0.10855,0.29935,0.11165,0.05269,1.82405,7.87402,1.86446,0.000675745,0.000675745,0.000675745
9,1524.63,1.48144,8.1822,1.69984,0.15778,0.27558,0.14574,0.08043,1.65325,7.38226,1.7757,0.00067228,0.00067228,0.00067228
10,1692.95,1.48212,8.20659,1.70199,0.16465,0.21313,0.14757,0.08591,1.67975,7.28008,1.77812,0.000668815,0.000668815,0.000668815
11,1861.35,1.45071,7.89169,1.68017,0.143,0.33174,0.16965,0.09587,1.60366,7.50842,1.7207,0.00066535,0.00066535,0.00066535
12,2029.93,1.44384,7.88448,1.67047,0.14273,0.32321,0.12745,0.07134,1.68633,7.24324,1.79984,0.000661885,0.000661885,0.000661885
13,2198.27,1.44176,7.85604,1.68768,0.17987,0.32124,0.15166,0.0879,1.66622,7.04287,1.74967,0.00065842,0.00065842,0.00065842
14,2366.52,1.41803,7.79072,1.67653,0.14938,0.34785,0.15579,0.09019,1.64382,7.06769,1.75544,0.000654955,0.000654955,0.000654955
15,2534.83,1.41428,7.7012,1.66389,0.1618,0.32078,0.1809,0.11335,1.42541,6.93848,1.59947,0.00065149,0.00065149,0.00065149
16,2703.3,1.41872,7.64915,1.64841,0.1973,0.27349,0.1871,0.11069,1.53235,6.96997,1.65632,0.000648025,0.000648025,0.000648025
17,2871.59,1.39237,7.5121,1.6503,0.18719,0.31527,0.17488,0.10019,1.59936,6.63488,1.7304,0.00064456,0.00064456,0.00064456
18,3039.91,1.3865,7.38963,1.646,0.16324,0.33756,0.1855,0.11088,1.56903,6.75431,1.694,0.000641095,0.000641095,0.000641095
19,3208.4,1.38849,7.37616,1.63466,0.17232,0.36961,0.18917,0.11727,1.59896,6.69488,1.71065,0.00063763,0.00063763,0.00063763
20,3376.83,1.38085,7.40044,1.642,0.20017,0.34172,0.20403,0.11709,1.64314,6.57141,1.7471,0.000634165,0.000634165,0.000634165
21,3545.23,1.35499,7.06828,1.61026,0.27066,0.35102,0.22688,0.13376,1.54934,6.56838,1.65747,0.0006307,0.0006307,0.0006307
22,3713.75,1.36253,7.08297,1.61889,0.18451,0.41295,0.22388,0.13031,1.57492,6.39651,1.67319,0.000627235,0.000627235,0.000627235
23,3881.93,1.34824,7.0726,1.60812,0.18056,0.38249,0.20306,0.11238,1.69757,6.63611,1.79172,0.00062377,0.00062377,0.00062377
