epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.057,1.64289,9.7415,1.7844,0.16886,0.13078,0.04284,0.0178,2.16507,12.2816,2.32704,0.000232767,0.000232767,0.0669803
2,349.019,1.65473,9.1855,1.79982,0.09662,0.15971,0.07048,0.03967,1.90937,9.11678,2.00699,0.000463304,0.000463304,0.0338775
3,517.925,1.6522,9.20138,1.82869,0.09969,0.18382,0.07596,0.0379,1.89428,8.71372,1.97818,0.00069104,0.00069104,0.000771947
4,686.265,1.64349,9.19362,1.82126,0.1126,0.20315,0.07204,0.03607,1.802,8.34634,1.9028,0.0006874,0.0006874,0.0006874
5,854.589,1.60683,9.00401,1.77951,0.12409,0.2663,0.09773,0.05277,1.69637,8.04796,1.80171,0.0006832,0.0006832,0.0006832
6,1023.23,1.56125,8.64257,1.76742,0.13378,0.25552,0.09103,0.05013,1.76301,8.11987,1.8441,0.000679,0.000679,0.000679
7,1191.7,1.52814,8.48852,1.74906,0.12804,0.3255,0.11941,0.06364,1.67506,7.61949,1.80979,0.0006748,0.0006748,0.0006748
8,1360.3,1.49956,8.30683,1.7186,0.14163,0.3019,0.11374,0.0671,1.56744,7.51184,1.76745,0.0006706,0.0006706,0.0006706
9,1528.86,1.48775,8.21649,1.71327,0.13325,0.26051,0.14485,0.08321,1.65877,7.40914,1.76097,0.0006664,0.0006664,0.0006664
10,1697.37,1.46075,8.05686,1.67344,0.14813,0.32249,0.13502,0.0768,1.61759,7.02286,1.73778,0.0006622,0.0006622,0.0006622
11,1865.79,1.4534,7.85762,1.66234,0.13283,0.32535,0.14347,0.08221,1.60751,7.01011,1.74256,0.000658,0.000658,0.000658
12,2034.22,1.43857,7.80054,1.67844,0.14992,0.38318,0.14715,0.094,1.48629,6.85668,1.63238,0.0006538,0.0006538,0.0006538
