epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.719,1.59058,3.23381,1.7358,0.06084,0.15286,0.04225,0.02134,2.03043,3.83857,2.20069,0.000199417,0.000199417,0.0802577
2,265.712,1.7105,3.18144,1.84153,0.05603,0.13411,0.04109,0.02226,1.91242,3.83875,2.00105,0.000396781,0.000396781,0.0604551
3,393.359,1.71124,3.18843,1.84309,0.13326,0.19713,0.09415,0.05065,1.82706,2.78117,1.90198,0.000591505,0.000591505,0.0406498
4,521.058,1.68956,3.13545,1.83866,0.06881,0.20228,0.06199,0.02919,1.87466,3.72849,1.97062,0.000783588,0.000783588,0.0208419
5,647.569,1.66862,3.11645,1.84138,0.11741,0.15685,0.06488,0.02977,1.82729,3.0419,1.96847,0.000973032,0.000973032,0.00103134
6,773.83,1.62132,3.10896,1.80705,0.10973,0.2004,0.08441,0.04566,1.78514,2.89383,1.88681,0.000967,0.000967,0.000967
7,900.396,1.57477,3.00432,1.76845,0.13608,0.24426,0.11146,0.06331,1.74765,2.70253,1.88532,0.0009604,0.0009604,0.0009604
8,1026.93,1.54139,2.92146,1.73531,0.14254,0.24847,0.11018,0.06382,1.70482,2.68265,1.84474,0.0009538,0.0009538,0.0009538
9,1153.48,1.54233,2.87356,1.72359,0.21633,0.23586,0.10586,0.05832,1.65136,2.66404,1.7415,0.0009472,0.0009472,0.0009472
10,1279.82,1.50453,2.83317,1.71293,0.13213,0.26187,0.13034,0.07445,1.59661,2.53377,1.74172,0.0009406,0.0009406,0.0009406
11,1406.41,1.47161,2.74438,1.66693,0.1146,0.28018,0.12897,0.07196,1.62935,2.43549,1.7184,0.000934,0.000934,0.000934
12,1532.9,1.45543,2.73527,1.69425,0.15281,0.22759,0.13489,0.07773,1.67232,2.51521,1.77512,0.0009274,0.0009274,0.0009274
13,1659.49,1.46081,2.71549,1.66205,0.11621,0.31642,0.12095,0.0669,1.78064,2.5891,1.82419,0.0009208,0.0009208,0.0009208
14,1785.82,1.45914,2.68083,1.67524,0.16029,0.35066,0.13865,0.07918,1.60519,2.50216,1.70879,0.0009142,0.0009142,0.0009142
15,1912.53,1.42287,2.65988,1.62872,0.24633,0.29535,0.15675,0.09441,1.55581,2.44298,1.66901,0.0009076,0.0009076,0.0009076
16,2039.17,1.41857,2.67066,1.64094,0.13997,0.25062,0.13275,0.07579,1.66453,2.4619,1.72822,0.000901,0.000901,0.000901
17,2165.71,1.42145,2.62175,1.63927,0.14446,0.2968,0.14657,0.08887,1.61247,2.42409,1.70649,0.0008944,0.0008944,0.0008944
18,2292.16,1.39861,2.58841,1.61239,0.16937,0.30444,0.15413,0.08693,1.61994,2.31101,1.66219,0.0008878,0.0008878,0.0008878
19,2418.59,1.36074,2.55827,1.57271,0.14173,0.32435,0.17761,0.10392,1.69223,2.36104,1.69186,0.0008812,0.0008812,0.0008812
20,2545.22,1.38724,2.56879,1.61466,0.15948,0.34737,0.16709,0.10177,1.60661,2.30894,1.68373,0.0008746,0.0008746,0.0008746
21,2671.58,1.34938,2.48091,1.58066,0.18551,0.366,0.18696,0.113,1.59227,2.25671,1.64564,0.000868,0.000868,0.000868
22,2798.24,1.34233,2.48472,1.55838,0.22509,0.28665,0.19521,0.11975,1.54091,2.26699,1.63281,0.0008614,0.0008614,0.0008614
23,2924.86,1.35389,2.50354,1.59053,0.15653,0.32428,0.19106,0.11937,1.52955,2.22713,1.59052,0.0008548,0.0008548,0.0008548
24,3051.44,1.34706,2.44248,1.57378,0.176,0.34847,0.18774,0.10896,1.65347,2.2355,1.68312,0.0008482,0.0008482,0.0008482
25,3177.9,1.36342,2.46543,1.58233,0.19333,0.28665,0.19728,0.1252,1.48179,2.22224,1.58138,0.0008416,0.0008416,0.0008416
26,3304.52,1.31892,2.42758,1.55382,0.16189,0.36193,0.17842,0.10597,1.56401,2.2065,1.64853,0.000835,0.000835,0.000835
27,3430.99,1.33438,2.42899,1.56452,0.19004,0.34196,0.18928,0.10896,1.60576,2.22906,1.65834,0.0008284,0.0008284,0.0008284
28,3557.51,1.37336,2.43251,1.57965,0.21148,0.4348,0.22337,0.1423,1.48717,2.14737,1.5887,0.0008218,0.0008218,0.0008218
29,3684.09,1.28179,2.36019,1.52757,0.18844,0.35467,0.18947,0.11709,1.52269,2.21324,1.60066,0.0008152,0.0008152,0.0008152
30,3810.51,1.30725,2.38122,1.55747,0.21624,0.35326,0.23479,0.15132,1.48641,2.0913,1.56071,0.0008086,0.0008086,0.0008086
31,3937.05,1.31413,2.32453,1.53215,0.23175,0.36212,0.22031,0.14561,1.428,2.16062,1.54269,0.000802,0.000802,0.000802
32,4063.51,1.308,2.3607,1.56423,0.21332,0.30976,0.21384,0.13428,1.49368,2.17524,1.59786,0.0007954,0.0007954,0.0007954
33,4190.04,1.29808,2.2857,1.53941,0.22902,0.39042,0.23736,0.15172,1.41209,2.16113,1.52125,0.0007888,0.0007888,0.0007888
34,4316.75,1.27144,2.32025,1.53369,0.18641,0.37657,0.22071,0.14497,1.32059,2.13403,1.50304,0.0007822,0.0007822,0.0007822
35,4443.14,1.27662,2.28054,1.52205,0.19323,0.38058,0.24446,0.16455,1.34686,2.11608,1.51563,0.0007756,0.0007756,0.0007756
36,4569.85,1.26176,2.24093,1.50553,0.20279,0.38848,0.23181,0.15327,1.34568,2.13949,1.49165,0.000769,0.000769,0.000769
37,4696.42,1.23753,2.21488,1.4933,0.22343,0.41246,0.23291,0.15901,1.26701,2.11953,1.4821,0.0007624,0.0007624,0.0007624
38,4822.7,1.23431,2.20155,1.49315,0.21894,0.33874,0.22772,0.15777,1.28349,2.10772,1.48374,0.0007558,0.0007558,0.0007558
39,4949.11,1.21905,2.20014,1.47671,0.19433,0.34554,0.22887,0.14969,1.37211,2.11789,1.50394,0.0007492,0.0007492,0.0007492
40,5075.61,1.23272,2.1783,1.48142,0.25682,0.34412,0.24003,0.16938,1.2266,2.05828,1.40996,0.0007426,0.0007426,0.0007426
41,5202.19,1.23862,2.19295,1.49137,0.22388,0.38677,0.23655,0.16447,1.21719,2.07475,1.42642,0.000736,0.000736,0.000736
42,5330.81,1.21502,2.15136,1.47849,0.19104,0.36746,0.2221,0.15577,1.18915,2.10399,1.40089,0.0007294,0.0007294,0.0007294
43,5457.22,1.21409,2.16314,1.47108,0.24626,0.36113,0.2483,0.17513,1.21971,2.05117,1.41871,0.0007228,0.0007228,0.0007228
44,5583.77,1.20451,2.17929,1.48068,0.23836,0.38849,0.2758,0.1961,1.20212,1.95913,1.41659,0.0007162,0.0007162,0.0007162
