epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.582,1.67268,9.91166,1.84739,0.08951,0.21557,0.05763,0.02788,1.9495,9.63582,2.07256,0.000232767,0.000232767,0.0669803
2,354.841,1.6995,9.46181,1.87159,0.25955,0.12832,0.06145,0.03209,1.86154,9.51684,1.98298,0.000464094,0.000464094,0.0338783
3,525.764,1.67963,9.40724,1.87487,0.11675,0.21081,0.07699,0.03807,1.83363,8.77738,2.044,0.000693412,0.000693412,0.000774319
4,695.96,1.63353,8.9884,1.82685,0.12814,0.2534,0.09359,0.04858,1.80959,8.19565,1.91857,0.000690961,0.000690961,0.000690961
5,866.549,1.57948,8.90914,1.79583,0.17005,0.25498,0.08937,0.04922,1.68445,8.43698,1.88128,0.000687948,0.000687948,0.000687948
6,1037.5,1.55553,8.65496,1.7678,0.13582,0.26613,0.13717,0.06962,1.75639,7.75408,1.83582,0.000684935,0.000684935,0.000684935
7,1208.56,1.52308,8.58029,1.75285,0.1367,0.27067,0.10678,0.0542,1.8405,8.0189,1.94763,0.000681922,0.000681922,0.000681922
8,1379.51,1.51014,8.33401,1.74006,0.11187,0.27719,0.11909,0.0579,1.83849,7.74467,1.89606,0.000678909,0.000678909,0.000678909
9,1550.58,1.47787,8.17793,1.71125,0.1711,0.28028,0.14603,0.0787,1.70655,7.40192,1.81668,0.000675896,0.000675896,0.000675896
10,1721.8,1.48894,8.18698,1.70326,0.14075,0.31382,0.13602,0.08035,1.65354,7.40004,1.78991,0.000672883,0.000672883,0.000672883
11,1892.92,1.45822,7.9508,1.69031,0.14386,0.32239,0.16575,0.09892,1.60249,7.26401,1.74119,0.00066987,0.00066987,0.00066987
12,2064.04,1.44256,7.87949,1.66362,0.14745,0.32949,0.11995,0.07022,1.58792,7.41134,1.69813,0.000666857,0.000666857,0.000666857
13,2234.87,1.43931,7.95068,1.68091,0.15307,0.2828,0.13383,0.0687,1.82607,7.41915,1.87247,0.000663843,0.000663843,0.000663843
14,2405.48,1.43222,7.79745,1.6861,0.19537,0.36751,0.18888,0.1023,1.70064,7.02322,1.77105,0.00066083,0.00066083,0.00066083
15,2576.55,1.42183,7.7453,1.66886,0.16399,0.33773,0.18285,0.10826,1.5942,7.07604,1.72742,0.000657817,0.000657817,0.000657817
16,2747.58,1.40486,7.67224,1.63192,0.16663,0.31331,0.1718,0.10222,1.57963,6.73113,1.68187,0.000654804,0.000654804,0.000654804
17,2918.46,1.39439,7.49724,1.65003,0.19529,0.31121,0.18078,0.10893,1.55707,6.65653,1.67797,0.000651791,0.000651791,0.000651791
18,3089.58,1.37854,7.38774,1.64074,0.16705,0.31725,0.18505,0.10801,1.57794,6.8083,1.70819,0.000648778,0.000648778,0.000648778
19,3261,1.36729,7.29604,1.61894,0.15251,0.36426,0.15253,0.09129,1.69288,7.04479,1.76972,0.000645765,0.000645765,0.000645765
20,3432.86,1.38222,7.37541,1.63381,0.20341,0.32862,0.19034,0.10584,1.71936,6.7899,1.77126,0.000642752,0.000642752,0.000642752
21,3604.99,1.35697,7.08827,1.6027,0.22837,0.3805,0.22354,0.12882,1.61381,6.60652,1.69681,0.000639739,0.000639739,0.000639739
22,3777.81,1.35858,7.16165,1.61764,0.20672,0.34346,0.22563,0.13575,1.64213,6.69003,1.70906,0.000636726,0.000636726,0.000636726
23,3950.05,1.34876,7.05332,1.6063,0.22349,0.29365,0.21125,0.11006,1.75894,6.82851,1.81102,0.000633713,0.000633713,0.000633713
24,4122.16,1.35772,7.02331,1.61117,0.22674,0.32782,0.21203,0.13072,1.55436,6.56732,1.66093,0.0006307,0.0006307,0.0006307
25,4294.06,1.35187,7.0441,1.60681,0.21134,0.4265,0.23193,0.13207,1.6272,6.43869,1.70873,0.000627687,0.000627687,0.000627687
26,4465.86,1.32089,6.83223,1.58442,0.23159,0.35993,0.26027,0.16191,1.51547,6.26161,1.63121,0.000624674,0.000624674,0.000624674
27,4637.66,1.33909,6.94198,1.59892,0.22995,0.39006,0.23026,0.14055,1.53586,6.41373,1.66176,0.000621661,0.000621661,0.000621661
28,4809.21,1.33607,6.9609,1.60745,0.24967,0.36319,0.2293,0.14282,1.5778,6.60041,1.71365,0.000618648,0.000618648,0.000618648
29,4980.75,1.30262,6.71546,1.56408,0.22708,0.36754,0.22865,0.13857,1.56586,6.33818,1.63632,0.000615635,0.000615635,0.000615635
30,5154.11,1.2994,6.77513,1.58029,0.22356,0.39125,0.26189,0.16407,1.49945,6.14675,1.66758,0.000612622,0.000612622,0.000612622
31,5326,1.30865,6.59698,1.57107,0.27732,0.36679,0.28197,0.17697,1.49139,6.0934,1.60702,0.000609609,0.000609609,0.000609609
32,5497.93,1.31532,6.66748,1.58298,0.28724,0.30698,0.27311,0.15924,1.65081,6.23379,1.71961,0.000606596,0.000606596,0.000606596
33,5669.43,1.29587,6.68,1.58213,0.40966,0.24965,0.26433,0.15942,1.48201,6.0513,1.59152,0.000603583,0.000603583,0.000603583
34,5841.14,1.29026,6.54343,1.56305,0.2164,0.41108,0.25262,0.14911,1.61853,6.36697,1.68774,0.00060057,0.00060057,0.00060057
35,6012.93,1.28198,6.50648,1.56021,0.24995,0.38685,0.27361,0.16272,1.59164,5.90446,1.7019,0.000597557,0.000597557,0.000597557
36,6184.74,1.26803,6.46915,1.54791,0.24644,0.39019,0.26791,0.16802,1.48418,6.19717,1.60226,0.000594543,0.000594543,0.000594543
